alcohol,total_phenols,flavanoids,proanthocyanins,hue,od280/od315_of_diluted_wines,proline,target
12.52,2.55,2.27,1.22,0.9,2.78,325.0,1
11.76,1.75,2.03,1.05,1.23,2.5,607.0,1
11.41,2.48,2.01,1.44,1.1,2.31,434.0,1
12.08,2.56,2.29,1.04,0.93,3.19,385.0,1
11.03,2.46,2.17,2.01,1.71,2.87,407.0,1
11.82,1.98,1.6,1.53,0.95,3.33,495.0,1
12.42,2.0,2.09,1.61,1.06,2.96,345.0,1
12.77,1.63,1.25,0.83,0.7,2.12,372.0,1
12.0,2.0,1.64,1.87,0.93,3.05,564.0,1
11.45,2.9,2.79,1.83,0.8,3.39,625.0,1
11.56,3.18,5.08,1.87,0.93,3.69,465.0,1
12.42,2.2,2.13,1.71,0.92,3.12,365.0,1
13.05,2.62,2.65,2.01,0.73,3.1,380.0,1
11.87,2.86,3.03,2.91,0.75,3.64,380.0,1
12.07,2.6,2.65,1.35,0.86,3.28,378.0,1
12.43,2.74,3.15,1.77,0.69,2.84,352.0,1
11.79,2.13,2.24,1.76,0.97,2.44,466.0,1
12.37,2.22,2.45,1.9,0.89,2.78,342.0,1
12.04,2.1,1.75,1.35,0.79,2.57,580.0,1
12.86,1.51,1.25,0.94,0.76,1.29,630.0,2
12.88,1.3,1.22,0.83,0.74,1.42,530.0,2
12.81,1.15,1.09,0.83,0.66,1.36,560.0,2
12.7,1.7,1.2,0.84,0.78,1.29,600.0,2
12.51,2.0,0.58,1.25,0.75,1.51,650.0,2
12.6,1.62,0.66,0.94,0.73,1.58,695.0,2
12.25,1.38,0.47,0.8,0.75,1.27,720.0,2
12.53,1.79,0.6,1.1,0.82,1.69,515.0,2
13.49,1.62,0.48,0.88,0.81,1.82,580.0,2
12.84,2.32,0.6,0.81,0.89,2.15,590.0,2
12.93,1.54,0.5,0.75,0.77,2.31,600.0,2
13.36,1.4,0.5,0.64,0.7,2.47,780.0,2
13.52,1.55,0.52,0.55,0.89,2.06,520.0,2
13.62,2.0,0.8,1.02,0.91,2.05,550.0,2
12.25,1.38,0.78,1.14,0.65,2.0,855.0,2
13.16,1.5,0.55,1.3,0.6,1.68,830.0,2
13.88,0.98,0.34,0.68,0.58,1.33,415.0,2
12.87,1.7,0.65,0.86,0.54,1.86,625.0,2
13.32,1.93,0.76,1.25,0.55,1.62,650.0,2
13.08,1.41,1.39,1.14,0.57,1.33,550.0,2
13.5,1.4,1.57,1.25,0.59,1.3,500.0,2
12.79,1.48,1.36,1.26,0.48,1.47,480.0,2
13.11,2.2,1.28,1.56,0.61,1.33,425.0,2
13.23,1.8,0.83,1.87,0.56,1.51,675.0,2
12.58,1.48,0.58,1.4,0.58,1.55,640.0,2
13.17,1.74,0.63,1.55,0.6,1.48,725.0,2
13.84,1.8,0.83,1.56,0.57,1.64,480.0,2
12.45,1.9,0.58,1.14,0.67,1.73,880.0,2
14.34,2.8,1.31,2.7,0.57,1.96,660.0,2
13.48,2.6,1.1,2.29,0.57,1.78,620.0,2
12.36,2.3,0.92,1.04,0.56,1.58,520.0,2
13.69,1.83,0.56,0.8,0.96,1.82,680.0,2
12.85,1.65,0.6,0.96,0.87,2.11,570.0,2
12.96,1.39,0.7,0.94,0.68,1.75,675.0,2
13.78,1.35,0.68,1.03,0.7,1.68,615.0,2
13.73,1.28,0.47,1.15,0.78,1.75,520.0,2
13.45,1.7,0.92,1.46,0.85,1.56,695.0,2
12.82,1.48,0.66,0.97,0.72,1.75,685.0,2
13.58,1.55,0.84,1.54,0.74,1.8,750.0,2
13.4,1.98,0.96,1.11,0.67,1.92,630.0,2
12.2,1.25,0.49,0.73,0.66,1.83,510.0,2
12.77,1.39,0.51,0.64,0.57,1.63,470.0,2
14.16,1.68,0.7,1.24,0.62,1.71,660.0,2
13.71,1.68,0.61,1.06,0.64,1.74,740.0,2
13.4,1.8,0.75,1.41,0.7,1.56,750.0,2
13.27,1.59,0.69,1.35,0.59,1.56,835.0,2
13.17,1.65,0.68,1.46,0.6,1.62,840.0,2
14.13,2.05,0.76,1.35,0.61,1.6,560.0,2
